12,8,16,270,
lib_materials:stone,lib_materials:stone_brick,lib_materials:stone_block,lib_materials:stone_cobble,,,,,,lib_ecology:tree_default_wood,
##
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,C0m00,W0m00,W0m00,W0m00,W0m00,W0m00,W0m00,W0m00,W0m00,W0m00,C0m00,
#
_____,_____,W0n00,W0m00,W0m00,W0m00,W0m00,W0m00,W0m00,W0m00,W0n00,_____,
_____,_____,C0m00,_____,_____,_____,Cs0E0,W0m00,_____,_____,C0m00,_____,
_____,_____,W0m00,_____,_____,_____,TwN00,W0m00,_____,_____,W0m00,_____,
_____,C0L02,W0m00,W0m00,W0m00,W0m00,W0m00,W0m00,W0m00,_____,W0m00,_____,
_____,_____,W0m00,Bs0N0,_____,C0S03,_____,C0S01,_____,_____,W0m00,_____,
_____,_____,W0m00,Bs0N0,_____,_____,_____,_____,_____,_____,W0m00,_____,
_____,_____,W0m00,_____,_____,_____,_____,_____,_____,_____,W0m00,_____,
_____,C0m00,W0m00,W0m00,W0m00,W0m00,W0m00,W0m00,W0m00,W0m00,W0m00,C0m00,
#
_____,_____,W0n00,W0m00,W0m00,W0m00,W0m00,W0m00,W0m00,W0m00,W0n00,_____,
_____,_____,C0m00,_____,_____,_____,Bs0N0,W0m00,_____,_____,C0m00,_____,
_____,_____,W0m00,_____,_____,_____,Bs0N0,W0m00,_____,_____,W0m00,_____,
_____,C0L02,W0m00,W0m00,W0m00,W0m00,W0m00,W0m00,W0m00,W0m00,W0m00,_____,
_____,_____,W0m00,Bs0N0,_____,C0S03,_____,C0S01,_____,Bs0N0,W0m00,_____,
_____,_____,W0m00,Bs0N0,_____,_____,_____,_____,_____,Bs0N0,W0m00,_____,
_____,_____,W0m00,_____,_____,_____,_____,_____,_____,_____,W0m00,_____,
_____,C0m00,W0m00,W0m00,W0m00,W0m00,W0m00,W0m00,W0m00,W0m00,W0m00,C0m00,
#
_____,_____,W0n00,W0m00,W0m00,W0m00,W0m00,W0m00,W0m00,W0m00,W0n00,_____,
_____,_____,C0m00,_____,_____,_____,Bs0N0,W0m00,_____,_____,C0m00,_____,
_____,_____,W0m00,TwS00,_____,_____,Bs0N0,W0m00,_____,_____,W0m00,_____,
_____,C0L02,W0m00,W0m00,W0m00,W0m00,W0m00,W0m00,W0m00,W0m00,W0m00,_____,
_____,_____,W0m00,Bs0N0,_____,SwW00,_____,SwW00,_____,Bs0N0,W0m00,_____,
_____,_____,W0m00,Bs0N0,_____,_____,_____,_____,_____,Bs0N0,W0m00,_____,
_____,_____,W0m00,_____,_____,_____,_____,_____,_____,_____,W0m00,_____,
_____,C0m00,W0m00,W0m00,W0m00,W0m00,W0m00,W0m00,W0m00,W0m00,W0m00,C0m00,
#
_____,_____,W0n00,W0m00,W0m00,W0m00,W0m00,W0m00,W0m00,W0m00,W0n00,_____,
_____,_____,C0m00,T0m00,W0DN0,T0m00,Bs0N0,Bs0N0,T0m00,W0DN0,C0m00,_____,
_____,_____,W0m00,T0m00,_____,T0m00,Bs0N0,Bs0N0,T0m00,_____,W0m00,_____,
_____,C0L02,W0m00,W0m00,W0m00,W0m00,W0m00,W0m00,W0m00,W0m00,W0m00,_____,
_____,_____,W0m00,Bs0N0,_____,_____,_____,_____,_____,Bs0N0,W0m00,_____,
_____,_____,W0m00,Bs0N0,_____,_____,_____,_____,_____,Bs0N0,W0m00,_____,
_____,_____,W0m00,_____,_____,_____,_____,_____,_____,_____,W0m00,_____,
_____,C0m00,W0m00,W0m00,W0m00,W0m00,W0m00,W0m00,W0m00,W0m00,W0m00,C0m00,
#
_____,_____,W0n00,W0m00,W0m00,W0m00,W0m00,W0m00,W0m00,W0m00,W0n00,_____,
_____,_____,C0m00,_____,_____,_____,_____,_____,_____,_____,C0m00,_____,
_____,_____,W0m00,_____,_____,_____,_____,_____,_____,_____,W0m00,_____,
_____,C0L02,W0m00,W0S02,W0S02,W0S02,W0S02,W0S02,W0S02,W0S02,W0m00,_____,
_____,_____,W0m00,W0n00,W0n00,W0n00,W0n00,W0n00,W0n00,W0n00,W0m00,_____,
_____,_____,W0m00,_____,_____,_____,_____,_____,_____,_____,W0m00,_____,
_____,_____,W0m00,T0m00,T0m00,T0m00,T0m00,T0m00,T0m00,T0m00,W0m00,_____,
_____,C0m00,W0m00,W0m00,W0m00,W0m00,W0m00,W0m00,W0m00,W0m00,W0m00,C0m00,
#
_____,_____,W0n00,W0m00,W0m00,W0m00,WlrN0,WlrN0,WlrN0,W0m00,W0n00,_____,
_____,_____,C0m00,_____,_____,C0S23,C0L23,C0L23,C0L23,C0S21,C0m00,_____,
_____,_____,G0S00,_____,_____,_____,_____,_____,_____,_____,W0m00,_____,
_____,C0L02,W0m00,_____,_____,_____,_____,_____,_____,_____,W0m00,_____,
_____,_____,W0m00,_____,_____,_____,_____,_____,_____,_____,W0m00,_____,
_____,_____,W0m00,_____,_____,_____,_____,_____,_____,_____,W0m00,_____,
_____,_____,W0m00,_____,_____,_____,_____,_____,_____,_____,W0m00,_____,
_____,C0m00,W0m00,W0m00,W0m00,W0m00,W0m00,W0m00,W0m00,W0m00,W0m00,C0m00,
#
C0m00,C0m00,T0m00,W0m00,W0m00,W0m00,WlrN0,WlrN0,WlrN0,W0m00,W0n00,_____,
C0S01,C0m00,T0m00,_____,_____,_____,_____,_____,_____,_____,C0m00,_____,
_____,W0n00,T0m00,_____,_____,_____,_____,_____,_____,_____,W0m00,_____,
_____,C0L02,T0m00,_____,_____,_____,_____,_____,_____,_____,W0m00,_____,
_____,_____,T0m00,_____,TwS00,_____,_____,_____,TwS00,_____,W0m00,_____,
_____,_____,T0m00,_____,_____,_____,_____,_____,_____,_____,W0m00,_____,
_____,_____,T0m00,_____,_____,_____,_____,_____,_____,_____,W0m00,_____,
_____,C0m00,W0m00,W0m00,W0m00,W0m00,W0m00,W0m00,W0m00,W0m00,W0m00,C0m00,
#
C0S01,C0m00,C0m00,W0m00,W0m00,W0m00,W0m00,W0m00,W0m00,W0m00,W0n00,_____,
_____,_____,W0DW0,_____,_____,_____,_____,_____,_____,_____,C0m00,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,W0m00,_____,
_____,C0L02,W0m00,_____,_____,_____,_____,_____,_____,_____,W0m00,_____,
_____,_____,W0m00,TwN00,W0n00,TwE00,_____,TwN00,W0n00,TwE00,W0m00,_____,
_____,_____,W0m00,_____,W0n00,_____,_____,_____,W0n00,_____,W0m00,_____,
_____,_____,W0m00,_____,W0n00,_____,_____,_____,W0n00,_____,W0m00,_____,
_____,C0S02,C0S02,C0S02,C0S02,C0S02,C0S02,C0S02,C0S02,C0S02,C0S02,C0S02,
#
C0m00,C0m00,T0m00,W0m00,W0m00,W0m00,W0m00,W0m00,W0m00,W0m00,W0n00,_____,
C0S01,C0m00,T0m00,_____,_____,_____,_____,_____,_____,_____,C0m00,_____,
_____,W0n00,T0m00,_____,_____,_____,_____,_____,_____,_____,W0m00,_____,
_____,C0L02,T0m00,_____,_____,_____,_____,_____,_____,_____,W0m00,_____,
_____,_____,T0m00,_____,TwW00,_____,_____,_____,TwW00,_____,W0m00,_____,
_____,_____,T0m00,_____,_____,_____,_____,_____,_____,_____,W0m00,_____,
_____,C0S02,W0S02,W0S02,W0S02,W0S02,W0S02,W0S02,W0S02,W0S02,W0S02,C0S02,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
#
_____,_____,W0n00,W0m00,W0m00,W0m00,W0m00,W0m00,W0m00,W0m00,W0n00,_____,
_____,_____,C0m00,_____,C0S23,C0L23,C0L23,C0L23,C0S21,_____,C0m00,_____,
_____,_____,G0S00,_____,_____,_____,_____,_____,_____,_____,W0m00,_____,
_____,C0L02,W0m00,_____,_____,_____,_____,_____,_____,_____,W0m00,_____,
_____,_____,W0m00,_____,_____,_____,_____,_____,_____,_____,W0m00,_____,
_____,C0S02,W0S02,W0S02,W0S02,W0S02,W0S02,W0S02,W0S02,W0S02,W0S02,C0S02,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
#
_____,_____,T0m00,W0n00,W0n00,W0n00,W0n00,W0n00,W0n00,W0n00,T0m00,_____,
_____,_____,T0m00,C0m00,C0m00,C0m00,C0m00,C0m00,C0m00,C0m00,T0m00,_____,
_____,_____,T0m00,W0m00,W0m00,W0m00,W0m00,W0m00,W0m00,W0m00,T0m00,_____,
_____,_____,T0m00,W0m00,W0m00,W0m00,W0m00,W0m00,W0m00,W0m00,T0m00,_____,
_____,C0S02,W0S02,W0S02,W0S02,W0S02,W0S02,W0S02,W0S02,W0S02,W0S02,C0S02,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
#
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,C0S02,C0S02,C0S02,C0S02,C0S02,C0S02,C0S02,C0S02,C0S02,C0S02,C0S02,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
